WMO,LOGIN,S/N#,Pathlength,CSCdark,CSCair,CSCcal
6903093,lovuse002b,187,25,0,13611,13217
7901000,lovuse002c,187,25,0,13611,13217
6903094,lovuse003b,186,25,0,13617,13207
3902498,lovuse010c,207,25,0,13871,13578
6904240,lovuse011c,209,25,0,14122,13598
6904241,lovuse012c,199,25,0,13842,13115
2903783,lovuse013c,204,25,0,13524,13176
1902593,lovuse014c,203,25,0,13468,13073
4903657,lovuse015c,210,25,0,13332,12916
5906970,lovuse016c,195,25,0,13797,13472
4903634,lovuse017c,206,25,0,13320,12998
1902578,lovuse018c,205,25,0,13274,12855
3902471,lovuse019b,190,25,0,13612,13320
4903658,lovuse020b,191,25,0,13137,12856
6990503,lovuse021b,193,25,0,13233,12857
2903787,lovuse022b,202,25,0,14074,13784
4903659,lovuse026c,192,25,0,13371,13100
4903660,lovuse027c,196,25,0,13902,13623
6990514,lovuse028c,198,25,0,13369,13038
1902601,lovuse029c,184,25,0,13430,13088
4903739,lovuse034c,212,25,0,13401,13172
1902637,lovuse035c,247,25,0,13752,13605
4903740,lovuse036c,248,25,0,13960,13636